,1,2,3,4,5,6,7,8,9,10,11,12
2013,35231.0,34578.0,31881.0,33792.0,32679.0,32879.0,29519.0,31356.0,36494.0,33665.0,34836.0,32779.0
2014,26911.0,17585.0,27679.0,28257.0,36030.0,32911.0,31667.0,31046.0,38020.0,37640.0,39725.0,34214.0
2015,31706.0,34401.0,33386.0,38207.0,40841.0,35867.0,34254.0,33942.0,36379.0,36173.0,36659.0,32947.0
2016,28441.0,29806.0,31602.0,32717.0,37952.0,32785.0,40193.0,35418.0,36754.0,36813.0,36585.0,34830.0
2017,32361.0,32052.0,35207.0,38625.0,36724.0,38214.0,33588.0,31599.0,34731.0,30519.0,34633.0,31879.0
2018,26202.0,35340.0,35091.0,36844.32,37277.33,37191.53,35488.17,36098.54,37149.64,37054.84,36527.31,34226.97
2019,30736.42,30881.95,32439.77,30070.38,34152.87,33254.71,30689.88,28047.21,32581.54,27320.89,25832.79,26606.0
2020,20752.0,20412.0,21193.0,17915.0,13629.0,11948.0,13322.0,13887.0,11259.0,12213.0,14941.0,12370.0
2021,13210.0,12628.0,14713.0,15166.0,15270.0,16005.0,15372.0,14895.0,14352.0,15132.0,14388.0,16216.0
2022,16650.0,15998.0,16608.0,20732.0,22255.0,25319.0,23439.0,20847.0,21181.0,22863.0,20212.0,21024.0
2023,17615.0,20403.0,22834.85,23791.34,22104.98,29676.14,20513.08,22662.62,24944.07,26558.75,26825.47,26514.84
2024,21755.39,22540.59,25750.96,23809.0,26074.58,24165.01,23731.47,23775.38,24882.78,,,
count,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0
mean,25130.9,25552.13,27365.46,28327.17,29582.48,29184.62,27648.05,26964.48,29060.67,28722.95,29196.78,27600.62
std,7040.82,8135.87,7126.43,8026.55,9343.61,8304.12,8347.95,7657.24,9477.17,8920.86,9254.17,7877.91
min,13210.0,12628.0,14713.0,15166.0,13629.0,11948.0,13322.0,13887.0,11259.0,12213.0,14388.0,12370.0
25%,19967.75,19698.5,22424.39,23026.5,22217.5,25030.5,22707.52,22208.72,23957.34,24710.88,23022.4,23769.42
50%,26556.5,26173.3,29640.5,29163.69,33415.94,32832.0,30104.44,29546.6,33656.27,30519.0,34633.0,31879.0
75%,30978.82,32639.25,32676.33,34555.08,36862.33,33907.78,33754.5,32184.75,36559.0,36493.0,36556.16,33580.5
max,35231.0,35340.0,35207.0,38625.0,40841.0,38214.0,40193.0,36098.54,38020.0,37640.0,39725.0,34830.0
