ANO,0
2013,"Mann_Kendall_Test(trend='no trend', h=False, p=0.7317017232242102, z=-0.34286274066187084, Tau=-0.09090909090909091, s=-6.0, var_s=212.66666666666666, slope=-72.25, intercept=33669.375)"
2014,"Mann_Kendall_Test(trend='increasing', h=True, p=0.004931500366306407, z=2.811474473427341, Tau=0.6363636363636364, s=42.0, var_s=212.66666666666666, slope=1196.0555555555557, intercept=25710.694444444445)"
2015,"Mann_Kendall_Test(trend='no trend', h=False, p=0.6312218204782534, z=0.48000783692661914, Tau=0.12121212121212122, s=8.0, var_s=212.66666666666666, slope=149.2, intercept=34313.4)"
2016,"Mann_Kendall_Test(trend='increasing', h=True, p=0.03352416523500468, z=2.125748992103599, Tau=0.48484848484848486, s=32.0, var_s=212.66666666666666, slope=748.9861111111111, intercept=31004.57638888889)"
2017,"Mann_Kendall_Test(trend='no trend', h=False, p=0.303673214899419, z=-1.0285882219856124, Tau=-0.24242424242424243, s=-16.0, var_s=212.66666666666666, slope=-198.14583333333331, intercept=35200.302083333336)"
2018,"Mann_Kendall_Test(trend='no trend', h=False, p=0.5371338571769022, z=0.6171529331913674, Tau=0.15151515151515152, s=10.0, var_s=212.66666666666666, slope=129.17333333333326, intercept=35602.47166666667)"
2019,"Mann_Kendall_Test(trend='no trend', h=False, p=0.06410357671243583, z=-1.8514587995741025, Tau=-0.42424242424242425, s=-28.0, var_s=212.66666666666666, slope=-435.26, intercept=33107.08)"
2020,"Mann_Kendall_Test(trend='decreasing', h=True, p=0.03352416523500468, z=-2.125748992103599, Tau=-0.48484848484848486, s=-32.0, var_s=212.66666666666666, slope=-820.6, intercept=18271.3)"
2021,"Mann_Kendall_Test(trend='no trend', h=False, p=0.19261627432960227, z=1.302878414515109, Tau=0.30303030303030304, s=20.0, var_s=212.66666666666666, slope=133.19642857142856, intercept=14280.919642857143)"
2022,"Mann_Kendall_Test(trend='no trend', h=False, p=0.19261627432960227, z=1.302878414515109, Tau=0.30303030303030304, s=20.0, var_s=212.66666666666666, slope=459.3611111111111, intercept=18409.01388888889)"
2023,"Mann_Kendall_Test(trend='increasing', h=True, p=0.016393316888809073, z=2.400039184633096, Tau=0.5454545454545454, s=36.0, var_s=212.66666666666666, slope=679.2483928571428, intercept=19577.228839285715)"
2024,"Mann_Kendall_Test(trend='no trend', h=False, p=0.34808262363292397, z=0.9383148632568366, Tau=0.2777777777777778, s=10.0, var_s=92.0, slope=226.466, intercept=22903.136)"
